DATA_PROVENANCE,student,discipline,gpa,ai_task_grade,PromptEngineering,PromptEngineering_retest,ProblemDecomposition,ProblemDecomposition_retest,OutputValidation,OutputValidation_retest,EthicalIntegration,EthicalIntegration_retest,CollaborativeSensemaking,CollaborativeSensemaking_retest,PromptEngineering_i1,PromptEngineering_i2,PromptEngineering_i3,PromptEngineering_i4,PromptEngineering_i5,ProblemDecomposition_i1,ProblemDecomposition_i2,ProblemDecomposition_i3,ProblemDecomposition_i4,ProblemDecomposition_i5,OutputValidation_i1,OutputValidation_i2,OutputValidation_i3,OutputValidation_i4,OutputValidation_i5,EthicalIntegration_i1,EthicalIntegration_i2,EthicalIntegration_i3,EthicalIntegration_i4,EthicalIntegration_i5,CollaborativeSensemaking_i1,CollaborativeSensemaking_i2,CollaborativeSensemaking_i3,CollaborativeSensemaking_i4,CollaborativeSensemaking_i5,CDM_total
SIMULATED,1,Business,2.904,80.66,4.0,3.168,2.333,2.115,2.0,1.998,3.0,2.098,2.0,1.872,3,4,5,3,4,1,1,2,2,3,3,2,2,2,2,2,4,2,4,2,1,2,2,1,3,2.6666
SIMULATED,2,Business,2.521,74.04,3.0,3.134,2.0,3.033,3.333,3.361,3.0,2.965,2.0,1.94,2,3,2,3,3,2,1,2,3,3,3,4,3,3,4,3,4,2,3,3,1,1,2,3,2,2.6666
SIMULATED,3,Business,2.943,76.24,3.667,4.507,3.0,2.607,2.667,2.533,1.667,1.807,3.0,2.384,3,4,4,3,4,3,3,2,3,3,2,2,2,4,3,1,2,1,1,2,2,3,3,3,4,2.8002
SIMULATED,4,Business,3.542,82.36,4.333,3.77,4.333,4.396,4.0,4.333,3.0,3.167,4.0,3.334,4,4,4,4,5,3,4,3,5,5,3,4,5,3,5,3,3,3,2,4,3,4,3,3,5,3.9332000000000003
SIMULATED,5,Business,3.496,79.83,4.0,3.888,4.0,3.29,3.0,3.247,2.0,2.128,3.0,2.819,4,3,3,5,4,4,3,4,4,4,1,4,3,3,3,1,2,2,1,2,4,2,2,3,3,3.2
SIMULATED,6,Business,3.343,90.99,4.0,4.314,3.0,2.909,3.0,3.469,3.0,2.612,3.0,3.055,4,4,5,4,4,2,3,3,2,4,3,3,2,4,3,2,3,2,4,4,3,4,3,2,4,3.2
SIMULATED,7,Business,2.83,86.5,4.0,4.38,4.333,5.0,2.333,2.531,3.0,3.4,3.0,4.427,2,3,5,4,4,3,5,4,4,4,1,3,2,3,3,3,3,2,3,4,3,3,3,3,4,3.3332
SIMULATED,8,Business,3.328,84.42,4.667,4.408,4.0,3.334,2.667,2.803,3.0,3.721,3.0,2.667,4,4,5,5,5,4,3,4,4,5,2,3,3,2,1,1,3,2,3,4,3,2,4,2,4,3.4668
SIMULATED,9,Business,3.169,68.22,3.667,3.911,3.667,3.484,3.333,3.357,2.0,2.174,1.333,1.719,3,3,4,4,3,3,3,4,4,3,2,4,3,4,4,1,3,2,2,3,1,1,2,2,1,2.8
SIMULATED,10,Business,3.457,82.24,3.667,3.01,4.0,3.214,2.667,2.603,2.0,2.109,3.0,2.868,4,3,4,4,3,4,4,3,5,4,2,2,1,4,4,2,2,2,1,3,4,1,3,4,3,3.0667999999999997
SIMULATED,11,HealthSciences,2.836,91.0,3.0,3.031,3.667,3.324,4.0,4.214,3.667,4.218,2.0,3.263,4,4,2,2,3,2,3,3,3,5,3,4,4,4,4,3,3,3,4,5,2,1,1,2,2,3.2668
SIMULATED,12,HealthSciences,2.91,84.82,3.0,4.018,5.0,3.82,4.0,3.587,2.667,3.254,3.333,2.521,2,2,3,3,4,5,4,5,5,5,4,4,3,4,4,1,3,2,3,3,3,3,3,3,3,3.6
SIMULATED,13,HealthSciences,3.757,88.72,4.0,3.735,3.0,2.92,4.0,4.15,4.0,3.332,3.0,3.162,3,4,3,5,3,3,3,3,3,4,4,3,3,4,5,3,3,4,4,4,2,2,2,3,4,3.6
SIMULATED,14,HealthSciences,2.395,76.51,2.667,1.968,2.333,2.722,4.0,4.013,3.0,3.29,3.0,3.238,3,2,4,3,2,2,3,2,2,2,4,3,4,5,5,2,2,3,4,4,3,3,2,4,2,3.0
SIMULATED,15,HealthSciences,3.2,71.19,3.0,1.734,3.333,3.575,4.0,4.236,4.0,4.103,3.0,3.416,3,2,3,3,3,4,3,3,4,3,4,4,3,5,5,4,5,5,3,3,2,3,3,3,4,3.4665999999999997
SIMULATED,16,HealthSciences,3.31,72.21,4.0,2.781,3.0,2.712,3.0,3.345,3.0,3.409,2.667,2.296,3,2,5,5,4,2,1,3,3,4,3,3,3,3,3,3,4,2,3,3,2,2,2,3,3,3.1334
SIMULATED,17,HealthSciences,3.467,83.98,3.0,3.293,3.0,3.839,4.0,4.013,4.0,3.296,3.0,3.678,1,1,3,4,4,3,3,4,2,3,4,3,3,5,4,5,4,4,4,4,2,2,4,3,3,3.4
SIMULATED,18,HealthSciences,1.909,73.56,3.0,2.725,3.333,2.893,4.0,3.667,4.0,3.059,2.667,3.084,2,3,3,3,4,3,3,1,4,4,4,4,4,4,4,3,4,4,5,4,2,4,2,2,2,3.4
SIMULATED,19,HealthSciences,3.419,75.85,2.0,2.703,3.667,3.491,4.333,4.09,2.667,3.374,3.0,3.695,1,2,3,3,3,4,3,4,4,3,4,5,4,5,4,3,3,2,2,1,2,2,4,3,3,3.1334
SIMULATED,20,HealthSciences,3.445,92.0,3.667,3.571,4.667,3.325,4.0,3.779,4.0,4.038,3.0,2.941,4,4,3,2,4,4,4,5,5,5,3,3,4,5,5,4,4,5,4,4,3,4,3,3,3,3.8668
